,hash,trans_size,sum(in_value),hash,size,sum(out_value),trans_fees,trans_fees_2
0,05109b4964be7bbbb7c52c307405ff49e0d331afd036fefc53b17ccc9a8276ec,277,55292953,05109b4964be7bbbb7c52c307405ff49e0d331afd036fefc53b17ccc9a8276ec,277,55283603,9350,33.75
1,265d798bd11d207152974c1f135bf3baab666017b4b0ba545666900c24a88368,357,7868827,265d798bd11d207152974c1f135bf3baab666017b4b0ba545666900c24a88368,357,7866317,2510,7.03
2,c2ab163210109dba5669af642835e6249a49f800a6ea7841fabda736f5f08440,381,1045607,c2ab163210109dba5669af642835e6249a49f800a6ea7841fabda736f5f08440,381,1040270,5337,14.01
3,d69f00f2cccb64a077823273d4195b9d3725f922ac6c1a58a52d1ec3ff0d5817,192,318825,d69f00f2cccb64a077823273d4195b9d3725f922ac6c1a58a52d1ec3ff0d5817,192,315939,2886,15.03
4,e8b40033964019b8aa515ed88a297917c6d18ea67fdb4c598486de5918a1f95d,191,1729400,e8b40033964019b8aa515ed88a297917c6d18ea67fdb4c598486de5918a1f95d,191,1727094,2306,12.07
5,258404c49f49f8ec15e3ba4533c6542223fd81e5a97812a25f8f6af8a8fe7aea,372,298924,258404c49f49f8ec15e3ba4533c6542223fd81e5a97812a25f8f6af8a8fe7aea,372,293464,5460,14.68
6,3ce92cc2838b86b6d8bb4c671460895ab9d73b433c2eb19d432697a947fbb184,506,100114,3ce92cc2838b86b6d8bb4c671460895ab9d73b433c2eb19d432697a947fbb184,506,90936,9178,18.14
7,4b5c3a6d3b19f199a463d7a6bfd0108e84a1915742c0baaa7be39f551f5bbf05,191,1801829,4b5c3a6d3b19f199a463d7a6bfd0108e84a1915742c0baaa7be39f551f5bbf05,191,1800821,1008,5.28
8,82dfe359d1f369c1946d8e1f759f877efe8cd79bcf4c547ed41ec78cb73182ba,224,3477359,82dfe359d1f369c1946d8e1f759f877efe8cd79bcf4c547ed41ec78cb73182ba,224,3473667,3692,16.48
9,a973d4edd66ca52c62ca9391f2d698d86bac1d95878fc4455a89479bae9de1fa,234,1153518,a973d4edd66ca52c62ca9391f2d698d86bac1d95878fc4455a89479bae9de1fa,234,1151528,1990,8.5
10,da5b5f26b60d24d89d32d4fdd8240c6d6c6a6c436cd03bd41e4c81aa898f480c,193,3458227,da5b5f26b60d24d89d32d4fdd8240c6d6c6a6c436cd03bd41e4c81aa898f480c,193,3455303,2924,15.15
11,16e462708ee8da8127c927f57ba79d87c11052a069f1096789e17f01136aefa4,224,8342761,16e462708ee8da8127c927f57ba79d87c11052a069f1096789e17f01136aefa4,224,8335723,7038,31.42
